Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Risk_Score,Risk_Category,Overall_Satisfaction,Income_Per_Company_Year,Engagement_Index,Automated_HR_Action,Target_ONET_Code,Current_Skills,Skill_Gap,Skill_Match_Pct,Recommendation
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,0.1176039,Low Risk,2.0,404.3333333333333,2.0,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"SAP software, Microsoft Office software, Critical Thinking, Microsoft Word, Microsoft Outlook","Reading Comprehension, Monitoring, Microsoft Excel, Microsoft PowerPoint",55.56,Start: Reading Comprehension
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,0.21691597,Low Risk,3.6666666666666665,419.3,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Microsoft PowerPoint, Reading Comprehension, Monitoring, Microsoft Excel, Microsoft Word, Microsoft Office software, Critical Thinking, SAP software",Microsoft Outlook,88.89,Start: Microsoft Outlook
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,0.11574366,Low Risk,2.6666666666666665,485.1666666666667,2.0,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"Speaking, Apache Kafka, C, Go, Apache Hadoop, Writing, Monitoring, Active Learning, Critical Thinking, Apache Spark, Reading Comprehension, Ansible software","Mathematics, Active Listening, Learning Strategies, Science, Amazon Web Services AWS software, Bash, C++, Docker, Git, GitHub",54.55,Start: Mathematics
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,0.042085797,Low Risk,3.0,887.0,3.0,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Reading Comprehension, Microsoft PowerPoint, Microsoft Word, Monitoring, Microsoft Office software, Microsoft Excel","Critical Thinking, Microsoft Outlook, SAP software",66.67,Start: Critical Thinking
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,0.9749111,High Risk,2.6666666666666665,405.6,3.0,HIGH RISK: HR review; retention conversation; career-path and compensation review.,51-9083.00,"Reading Comprehension, Critical Thinking, Microsoft Excel, Microsoft Word, Microsoft Office software","Monitoring, Microsoft Outlook, Microsoft PowerPoint, SAP software",55.56,Start: Monitoring
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,0.06464212,Low Risk,2.0,907.2727272727273,2.0,LOW RISK: Continue standard career development and engagement tracking.,51-9195.05,"Monitoring, Microsoft Outlook, Active Listening","Critical Thinking, Microsoft Excel",60.0,Start: Critical Thinking
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,0.08308214,Low Risk,2.3333333333333335,471.14285714285717,1.6666666666666667,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"Apache Spark, Git, Apache Kafka, Writing, Speaking, Reading Comprehension, Amazon Web Services AWS software, Monitoring, C, Docker","Active Learning, Mathematics, Critical Thinking, Active Listening, Learning Strategies, Science, Ansible software, Apache Hadoop, Bash, C++, GitHub, Go",45.45,Start: Active Learning
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,0.5020993,Medium Risk,3.3333333333333335,1467.5,3.3333333333333335,MEDIUM RISK: Manager check-in; mentorship; targeted development plan.,51-9083.00,"Microsoft Word, Microsoft PowerPoint, SAP software, Critical Thinking, Microsoft Excel","Reading Comprehension, Monitoring, Microsoft Office software, Microsoft Outlook",55.56,Start: Reading Comprehension
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,0.03424302,Low Risk,2.6666666666666665,593.3461538461538,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,47-1011.03,"Microsoft Outlook, Critical Thinking, Mathematics, Monitoring, Autodesk Revit, Microsoft PowerPoint, Autodesk AutoCAD Civil 3D, Microsoft Excel, Learning Strategies, Oracle Primavera Enterprise Project Portfolio Management, Active Listening, Microsoft Project, Active Learning, Microsoft Visio, Microsoft Office software, Speaking, Reading Comprehension","Writing, Autodesk AutoCAD, Microsoft Windows, Microsoft Word",80.95,Start: Writing
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,0.24335806,Low Risk,3.6666666666666665,986.0,3.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"Active Listening, Amazon Web Services AWS software, Apache Kafka, Ansible software, Git, Apache Hadoop, Reading Comprehension, Writing, Learning Strategies, Science, Go, Apache Spark, Mathematics, Docker, Active Learning, Bash, Critical Thinking, GitHub","Speaking, Monitoring, C, C++",81.82,Start: Speaking
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,0.0265943,Low Risk,2.6666666666666665,802.2,2.0,LOW RISK: Continue standard career development and engagement tracking.,51-9195.05,"Microsoft Excel, Monitoring","Critical Thinking, Active Listening, Microsoft Outlook",40.0,Start: Critical Thinking
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,0.80849946,High Risk,2.0,567.8333333333334,2.3333333333333335,HIGH RISK: HR review; retention conversation; career-path and compensation review.,41-4012.00,"Writing, Active Learning, Microsoft Outlook, Microsoft Office software, Microsoft PowerPoint, Speaking, Reading Comprehension, Salesforce software, Adobe Photoshop, Adobe Illustrator, Autodesk AutoCAD, Adobe Acrobat, Adobe InDesign, Apple macOS, Microsoft Excel, Active Listening","Critical Thinking, Monitoring, Adobe Creative Cloud software",84.21,Start: Critical Thinking
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,0.035702635,Low Risk,2.0,922.6153846153846,2.0,LOW RISK: Continue standard career development and engagement tracking.,27-2041.00,"Active Learning, Critical Thinking, Active Listening, Writing, Microsoft Excel, Microsoft Word, Monitoring","Speaking, Reading Comprehension, Learning Strategies, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint",53.85,Start: Speaking
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0.3313557,Low Risk,3.6666666666666665,1232.0,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"Active Learning, Docker, Ansible software, Speaking, Monitoring, C++, Apache Kafka, Writing, Amazon Web Services AWS software, Bash, Go, Learning Strategies, Apache Hadoop, Mathematics, Reading Comprehension, C","Critical Thinking, Active Listening, Science, Apache Spark, Git, GitHub",72.73,Start: Critical Thinking
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,0.11152883,Low Risk,2.0,592.0,2.0,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"Science, Mathematics, Active Learning, Writing, Git, Apache Spark, Learning Strategies, C, C++, Critical Thinking, Amazon Web Services AWS software","Reading Comprehension, Active Listening, Speaking, Monitoring, Ansible software, Apache Hadoop, Apache Kafka, Bash, Docker, GitHub, Go",50.0,Start: Reading Comprehension
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,0.01977011,Low Risk,3.3333333333333335,1272.9333333333334,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,47-1011.03,"Oracle Primavera Enterprise Project Portfolio Management, Active Learning, Microsoft Project, Microsoft Outlook, Autodesk AutoCAD, Microsoft Office software, Learning Strategies, Writing, Autodesk Revit, Autodesk AutoCAD Civil 3D, Critical Thinking","Reading Comprehension, Monitoring, Active Listening, Speaking, Mathematics, Microsoft Excel, Microsoft PowerPoint, Microsoft Visio, Microsoft Windows, Microsoft Word",52.38,Start: Reading Comprehension
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,0.9321326,High Risk,1.6666666666666667,356.27272727272725,2.0,HIGH RISK: HR review; retention conversation; career-path and compensation review.,15-1221.00,"Go, Git, C, Amazon Web Services AWS software, Mathematics, Apache Kafka, Docker, Apache Hadoop, Reading Comprehension, Science, Ansible software, Apache Spark","Active Learning, Critical Thinking, Active Listening, Writing, Speaking, Monitoring, Learning Strategies, Bash, C++, GitHub",54.55,Start: Active Learning
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,0.08824123,Low Risk,3.0,682.5,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,53-3031.00,"Microsoft Excel, Reading Comprehension, Critical Thinking, Active Listening","Speaking, Writing, Microsoft Office software",57.14,Start: Speaking
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,0.045112662,Low Risk,3.0,445.5652173913044,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,43-4051.00,"Critical Thinking, Adobe Photoshop, Adobe Acrobat, Active Listening, Adobe Illustrator, Microsoft Excel, Adobe Creative Cloud software, Microsoft Outlook","Speaking, Reading Comprehension, Writing, Monitoring, Microsoft Office software, Apple macOS, Facebook, Google Docs, Intuit QuickBooks, Kronos Workforce Timekeeper",44.44,Start: Speaking
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,0.05367022,Low Risk,2.3333333333333335,6315.666666666667,1.6666666666666667,LOW RISK: Continue standard career development and engagement tracking.,47-1011.03,"Learning Strategies, Microsoft PowerPoint, Reading Comprehension, Oracle Primavera Enterprise Project Portfolio Management, Active Listening, Microsoft Office software, Monitoring, Autodesk Revit, Mathematics, Critical Thinking, Microsoft Project, Microsoft Outlook, Microsoft Windows, Speaking, Writing, Microsoft Excel, Microsoft Word","Active Learning, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Microsoft Visio",80.95,Start: Active Learning
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,0.35955858,Low Risk,3.6666666666666665,1248.0,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Microsoft Word, SAP software, Microsoft Office software, Monitoring, Microsoft Excel, Microsoft Outlook, Reading Comprehension, Microsoft PowerPoint",Critical Thinking,88.89,Start: Critical Thinking
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,0.042766634,Low Risk,4.0,1293.0,4.0,LOW RISK: Continue standard career development and engagement tracking.,43-4051.00,"Adobe Creative Cloud software, Microsoft Excel, Intuit QuickBooks, Active Listening, Critical Thinking, Apple macOS, Reading Comprehension, Microsoft Outlook, Adobe Photoshop, Adobe Illustrator, Microsoft Office software","Speaking, Writing, Monitoring, Adobe Acrobat, Facebook, Google Docs, Kronos Workforce Timekeeper",61.11,Start: Speaking
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,0.17122796,Low Risk,2.6666666666666665,200.54545454545453,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Reading Comprehension, Microsoft Office software, Monitoring, Critical Thinking, Microsoft Word","Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, SAP software",55.56,Start: Microsoft Excel
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,0.7272469,High Risk,3.6666666666666665,1043.0,4.0,HIGH RISK: HR review; retention conversation; career-path and compensation review.,41-4012.00,"Salesforce software, Critical Thinking, Apple macOS, Monitoring, Microsoft PowerPoint, Adobe Acrobat, Microsoft Outlook, Active Learning, Writing, Adobe Illustrator, Adobe Creative Cloud software","Active Listening, Speaking, Reading Comprehension, Microsoft Excel, Microsoft Office software, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD",57.89,Start: Active Listening
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,0.85263,High Risk,2.3333333333333335,764.3333333333334,2.6666666666666665,HIGH RISK: HR review; retention conversation; career-path and compensation review.,15-1221.00,"Reading Comprehension, Critical Thinking, Learning Strategies, Science, Monitoring, Speaking, Active Learning, Writing, C++, Apache Spark, Git, C, Bash, GitHub, Apache Kafka, Ansible software, Mathematics","Active Listening, Amazon Web Services AWS software, Apache Hadoop, Docker, Go",77.27,Start: Active Listening
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,0.0036141223,Low Risk,3.6666666666666665,440.8333333333333,3.0,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"C++, Amazon Web Services AWS software, Apache Kafka, Learning Strategies, Monitoring, Bash, Reading Comprehension, Active Learning, Science, Apache Hadoop, C","Mathematics, Critical Thinking, Active Listening, Writing, Speaking, Ansible software, Apache Spark, Docker, Git, GitHub, Go",50.0,Start: Mathematics
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,0.66517,Medium Risk,2.3333333333333335,670.75,2.3333333333333335,MEDIUM RISK: Manager check-in; mentorship; targeted development plan.,41-4012.00,"Microsoft Excel, Speaking, Critical Thinking, Microsoft Outlook, Adobe Creative Cloud software, Microsoft PowerPoint, Monitoring, Adobe InDesign, Adobe Photoshop","Active Listening, Reading Comprehension, Writing, Active Learning, Microsoft Office software, Salesforce software, Adobe Acrobat, Adobe Illustrator, Apple macOS, Autodesk AutoCAD",47.37,Start: Active Listening
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,0.22136587,Low Risk,3.0,671.3333333333334,3.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,41-4012.00,"Reading Comprehension, Critical Thinking, Adobe Illustrator, Speaking, Adobe Acrobat, Microsoft Outlook, Microsoft Office software, Adobe Creative Cloud software, Active Learning, Salesforce software, Adobe InDesign","Active Listening, Writing, Monitoring, Microsoft Excel, Microsoft PowerPoint, Adobe Photoshop, Apple macOS, Autodesk AutoCAD",57.89,Start: Active Listening
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,0.23019956,Low Risk,2.3333333333333335,1709.5,2.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"Docker, C++, Ansible software, Bash, Monitoring, C, Mathematics, Active Learning, Writing, Reading Comprehension, Apache Hadoop, Amazon Web Services AWS software, Apache Spark, Critical Thinking","Active Listening, Speaking, Learning Strategies, Science, Apache Kafka, Git, GitHub, Go",63.64,Start: Active Listening
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,0.06936478,Low Risk,1.6666666666666667,896.0,2.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,53-3031.00,"Speaking, Critical Thinking, Active Listening, Writing","Reading Comprehension, Microsoft Excel, Microsoft Office software",57.14,Start: Reading Comprehension
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,0.2417075,Low Risk,3.3333333333333335,975.5,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Microsoft Office software, SAP software, Microsoft Outlook, Critical Thinking, Microsoft Word, Microsoft PowerPoint, Reading Comprehension","Monitoring, Microsoft Excel",77.78,Start: Monitoring
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,0.54186654,Medium Risk,3.0,1170.5,2.6666666666666665,MEDIUM RISK: Manager check-in; mentorship; targeted development plan.,51-9083.00,"Reading Comprehension, Microsoft Outlook, Microsoft Office software, Microsoft Excel, Microsoft Word, Microsoft PowerPoint","Critical Thinking, Monitoring, SAP software",66.67,Start: Critical Thinking
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,0.95893586,High Risk,2.3333333333333335,1146.5,2.0,HIGH RISK: HR review; retention conversation; career-path and compensation review.,51-9083.00,"Microsoft Office software, Microsoft PowerPoint, Critical Thinking, Microsoft Outlook, Reading Comprehension","Monitoring, Microsoft Excel, Microsoft Word, SAP software",55.56,Start: Monitoring
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,0.07666807,Low Risk,3.6666666666666665,872.6,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,53-3031.00,"Active Listening, Microsoft Excel, Microsoft Office software","Speaking, Critical Thinking, Reading Comprehension, Writing",42.86,Start: Speaking
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,0.07908542,Low Risk,3.6666666666666665,308.53846153846155,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Microsoft Outlook, Reading Comprehension, Critical Thinking, Monitoring, Microsoft PowerPoint, SAP software, Microsoft Word","Microsoft Excel, Microsoft Office software",77.78,Start: Microsoft Excel
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,0.023621092,Low Risk,3.0,849.7826086956521,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,27-2041.00,"Monitoring, Reading Comprehension, Active Learning, Microsoft Office software, Active Listening, Microsoft Word, Speaking, Microsoft Excel, Critical Thinking, Learning Strategies","Writing, Microsoft Outlook, Microsoft PowerPoint",76.92,Start: Writing
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,0.07626806,Low Risk,2.6666666666666665,456.8,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,53-3031.00,"Active Listening, Speaking, Writing, Microsoft Excel","Critical Thinking, Reading Comprehension, Microsoft Office software",57.14,Start: Critical Thinking
