EmployeeID,TargetRoleONET,CurrentSkill
124,43-4051.00,Adobe Acrobat
124,43-4051.00,Kronos Workforce Timekeeper
124,43-4051.00,Monitoring
124,43-4051.00,Adobe Photoshop
124,43-4051.00,Writing
124,43-4051.00,Microsoft Office software
124,43-4051.00,Intuit QuickBooks
124,43-4051.00,Google Docs
124,43-4051.00,Microsoft Outlook
124,43-4051.00,Microsoft Excel
125,53-3031.00,Microsoft Office software
125,53-3031.00,Reading Comprehension
125,53-3031.00,Active Listening
125,53-3031.00,Writing
126,27-2041.00,Speaking
126,27-2041.00,Microsoft Excel
126,27-2041.00,Reading Comprehension
126,27-2041.00,Microsoft Office software
126,27-2041.00,Critical Thinking
126,27-2041.00,Microsoft PowerPoint
126,27-2041.00,Microsoft Word
128,53-3031.00,Microsoft Office software
128,53-3031.00,Reading Comprehension
128,53-3031.00,Writing
128,53-3031.00,Microsoft Excel
129,53-3031.00,Microsoft Excel
129,53-3031.00,Speaking
129,53-3031.00,Critical Thinking
129,53-3031.00,Reading Comprehension
129,53-3031.00,Microsoft Office software
131,53-3031.00,Writing
131,53-3031.00,Active Listening
131,53-3031.00,Reading Comprehension
131,53-3031.00,Microsoft Excel
131,53-3031.00,Critical Thinking
131,53-3031.00,Speaking
132,51-9083.00,Reading Comprehension
132,51-9083.00,SAP software
132,51-9083.00,Microsoft Word
132,51-9083.00,Critical Thinking
132,51-9083.00,Microsoft PowerPoint
132,51-9083.00,Monitoring
132,51-9083.00,Microsoft Outlook
132,51-9083.00,Microsoft Office software
133,43-4161.00,Microsoft Excel
133,43-4161.00,Oracle HRIS
133,43-4161.00,Speaking
133,43-4161.00,Applicant tracking software
133,43-4161.00,Microsoft Access
133,43-4161.00,Reading Comprehension
133,43-4161.00,Active Learning
133,43-4161.00,Microsoft Outlook
133,43-4161.00,Microsoft Visio
133,43-4161.00,Microsoft PowerPoint
133,43-4161.00,Monitoring
133,43-4161.00,Microsoft SharePoint
134,15-1221.00,GitHub
134,15-1221.00,Amazon Web Services AWS software
134,15-1221.00,C++
134,15-1221.00,Apache Spark
